customer_id,customer_first_name,customer_last_name,product_name,category_name,customer_segment,customer_city,customer_state,customer_country,customer_region,delivery_status,order_id,shipping_type,days_for_shipment_scheduled,days_for_shipment_real,order_item_discount,sales_per_order,order_quantity,profit_per_order,order_update,ship_update
C_ID_61171,Mary,Etezadi,"Southworth 25% Cotton Granite Paper & Envelopes","Office Supplies","Home Office",Henderson,Kentucky,"United States",South,"Advance shipping",O_ID_3000011,"Standard Class",4,2,48,300,5,123.47,2020-11-09,2020-06-16
C_ID_50457,Richard,Pak,"Logitech K350 2.4Ghz Wireless Keyboard",Technology,Consumer,Madison,Wisconsin,"United States",Central,"Late delivery",O_ID_3079653,"Second Class",2,3,90,42,2,-88.97,2020-06-19,2020-06-22
C_ID_36240,Sarah,Wiener,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Consumer,Seattle,Washington,"United States",West,"Late delivery",O_ID_3086366,"Second Class",2,6,28,196,5,217.35,2020-05-11,2020-11-11
C_ID_52640,Eugene,Pryor,"PowerGen Dual USB Car Charger",Technology,"Home Office",Yonkers,"New York","United States",East,"Late delivery",O_ID_3000153,"Standard Class",4,5,0,500,2,149.99,2020-04-30,2020-02-08
C_ID_52478,Mary,Ludtke,"Sensible Storage WireTech Storage Systems","Office Supplies",Consumer,Yonkers,"New York","United States",East,"Advance shipping",O_ID_3000155,"Standard Class",4,2,20,500,2,36,2020-05-30,2020-06-01
C_ID_52183,David,Sundaresam,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""","Office Supplies",Consumer,Huntsville,Texas,"United States",Central,"Shipping on time",O_ID_3000016,"Standard Class",4,4,51,300,5,-24.9,2020-02-03,2020-04-05
C_ID_28744,Mary,Seite,"Newell 312","Office Supplies",Consumer,Laredo,Texas,"United States",Central,"Late delivery",O_ID_3000017,"Second Class",2,5,5,120,2,-30.75,2020-02-27,2020-03-04
C_ID_45461,Mary,Seite,"Memorex Micro Travel Drive 8 GB",Technology,Consumer,Laredo,Texas,"United States",Central,"Shipping on time",O_ID_3000018,"Second Class",2,2,1,80,2,-122.73,2020-10-28,2020-10-30
C_ID_31115,Elizabeth,Jacobs,"Howard Miller 11-1/2" Diameter Ridgewood Wall Clock"",Furniture,Corporate,Springfield,Virginia,"United States",South,"Late delivery",O_ID_3000019,"Second Class",2,6,4,100,2,33.6,2020-04-02,2020-05-07
C_ID_45766,Katherine,Jacobs,"Avery 482","Office Supplies",Corporate,Springfield,Virginia,"United States",South,"Shipping on time",O_ID_3000020,"Second Class",2,2,4,80,2,24.69,2020-11-02,2020-01-14
C_ID_47752,Mary,Vernon,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Consumer,Dover,Delaware,"United States",East,"Late delivery",O_ID_3000021,"Second Class",2,3,9,100,2,9.1,2020-12-01,2020-01-15
C_ID_50054,Dennis,Dahlen,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Consumer,"San Francisco",California,"United States",West,"Late delivery",O_ID_3000022,"Second Class",2,5,13,100,2,-21.75,2020-01-03,2020-05-04
C_ID_36146,Mary,DeCherney,"Global Highback Leather Tilter in Burgundy",Furniture,Consumer,"Mount Pleasant","South Carolina","United States",South,"Shipping on time",O_ID_3000023,"Second Class",2,2,15,90,2,22.41,2020-11-09,2020-06-16
C_ID_41234,Frances,Dahlen,"4009 Highlighters by Sanford","Office Supplies",Consumer,"San Francisco",California,"United States",West,"Late delivery",O_ID_3000024,"Second Class",2,5,20,110,2,25.24,2020-08-27,2020-09-01
C_ID_32090,Alice,Moore,"Avery Metallic Poly Binders","Office Supplies",Consumer,Newark,Ohio,"United States",East,"Late delivery",O_ID_3000025,"Second Class",2,6,2,120,2,30.57,2020-04-16,2020-04-22
C_ID_34773,Kyle,Selesnick,"3-ring staple pack","Office Supplies",Corporate,"Bossier City",Louisiana,"United States",South,"Late delivery",O_ID_3000026,"Second Class",2,4,24,120,2,46.07,2020-05-25,2020-05-29
C_ID_44046,Brenda,Selesnick,"Brown Kraft Recycled Envelopes","Office Supplies",Corporate,"Bossier City",Louisiana,"United States",South,"Shipping on time",O_ID_3000027,"Second Class",2,2,36,300,3,-184.78,2020-04-13,2020-06-13
C_ID_46414,Frank,Selesnick,"Staple envelope","Office Supplies",Corporate,"Bossier City",Louisiana,"United States",South,"Late delivery",O_ID_3000028,"Second Class",2,5,6,120,3,38.75,2020-08-14,2020-11-16
C_ID_46599,Johnny,Moore,"Xerox 1923","Office Supplies",Consumer,Newark,Ohio,"United States",East,"Late delivery",O_ID_3000029,"Second Class",2,5,2,66,3,-3.65,2020-11-14,2020-11-19
C_ID_48434,Mary,Selesnick,"Fellowes Stor/Drawer Steel Plus Storage Drawers","Office Supplies",Corporate,"Bossier City",Louisiana,"United States",South,"Late delivery",O_ID_3000030,"Second Class",2,5,16,96,3,38.23,2020-08-15,2020-12-16
C_ID_63936,Hannah,Dahlen,"Tennsco 6- and 18-Compartment Lockers","Office Supplies",Consumer,"San Francisco",California,"United States",West,"Shipping on time",O_ID_3000031,"Second Class",2,2,30,300,3,132.29,2020-07-25,2020-07-27
C_ID_65030,Mary,Selesnick,"Plantronics S12 Corded Telephone Headset System",Technology,Corporate,"Bossier City",Louisiana,"United States",South,"Late delivery",O_ID_3000032,"Second Class",2,6,75,300,2,76.04,2020-07-11,2020-08-16
C_ID_62571,Michael,Sweed,"Sauder Cornerstone Collection Library",Furniture,Corporate,Philadelphia,Pennsylvania,"United States",East,"Shipping on time",O_ID_3000033,"Second Class",2,2,13,180,2,43.52,2020-02-10,2020-04-10
C_ID_65922,Vincent,Hackney,"Logitech 910-002974 M325 Wireless Mouse for Web Scrolling",Technology,Consumer,Roswell,Georgia,"United States",South,"Late delivery",O_ID_3000034,"Second Class",2,3,18,180,2,40.49,2020-08-23,2020-08-26
C_ID_63936,Hannah,Latchford,"DAX Black Cherry Wood-Tone Poster Frame",Furniture,Consumer,Philadelphia,Pennsylvania,"United States",East,"Shipping on time",O_ID_3000035,"Second Class",2,2,11,150,2,20.93,2020-07-25,2020-07-27
C_ID_56448,Mary,Bixby,"GBC Wire Binding Combs","Office Supplies",Consumer,Seattle,Washington,"United States",West,"Late delivery",O_ID_3000157,"Standard Class",4,6,50,500,2,-269.97,2020-04-17,2020-04-23
C_ID_67892,Frances,Latchford,"Round Specialty Laser Printer Labels","Office Supplies",Consumer,Philadelphia,Pennsylvania,"United States",East,"Late delivery",O_ID_3000037,"Second Class",2,3,38,150,3,12.71,2020-09-21,2020-09-24
C_ID_56359,Megan,Latchford,"AT&T 841000 Phone",Technology,Consumer,Philadelphia,Pennsylvania,"United States",East,"Late delivery",O_ID_3000038,"Second Class",2,5,2,180,2,-285.07,2020-02-07,2020-07-07
C_ID_52477,Mary,Miller,"Performers Binder/Pad Holder, Black","Office Supplies",Corporate,"Little Rock",Arkansas,"United States",South,"Advance shipping",O_ID_3000907,"Standard Class",4,2,5,500,5,55.93,2020-04-24,2020-04-26
C_ID_57567,Mary,liebe,"Xerox 229","Office Supplies","Home Office","Los Angeles",California,"United States",West,"Advance shipping",O_ID_3000909,"Standard Class",4,2,15,500,5,126.09,2020-04-22,2020-04-24
C_ID_53413,Grace,Swindell,"GBC Standard Recycled Report Covers, Clear Plastic Sheets","Office Supplies",Consumer,Scottsdale,Arizona,"United States",West,"Late delivery",O_ID_3000041,"Second Class",2,4,27,180,2,47.88,2020-02-21,2020-02-25
C_ID_56973,Mary,Swindell,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White","Office Supplies",Consumer,Scottsdale,Arizona,"United States",West,"Late delivery",O_ID_3000042,"Second Class",2,4,6,150,3,23.47,2020-11-07,2020-04-18
C_ID_55155,Mary,Swindell,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page","Office Supplies",Consumer,Scottsdale,Arizona,"United States",West,"Late delivery",O_ID_3000043,"Second Class",2,6,11,150,2,43.66,2020-03-19,2020-03-25
C_ID_53403,Mary,Lopez,"Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms",Furniture,Consumer,Jonesboro,Arkansas,"United States",South,"Late delivery",O_ID_3000044,"Second Class",2,4,26,150,2,15.56,2020-02-21,2020-02-25
C_ID_51298,Ronald,Preis,"Ultra Door Push Plate",Furniture,Consumer,Westland,Michigan,"United States",Central,"Late delivery",O_ID_3000045,"Second Class",2,4,20,120,3,32.86,2020-01-21,2020-01-25
C_ID_41251,Mary,Preis,"Eldon ClusterMat Chair Mat with Cordless Antistatic Protection",Furniture,Consumer,Westland,Michigan,"United States",Central,"Shipping on time",O_ID_3000046,"Second Class",2,2,12,240,4,17.1,2020-08-28,2020-08-30
C_ID_34756,Sandra,Lopez,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Consumer,Jonesboro,Arkansas,"United States",South,"Shipping on time",O_ID_3000047,"Second Class",2,2,30,200,1,81.57,2020-05-25,2020-05-27
C_ID_33846,Carol,Van,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Consumer,"Los Angeles",California,"United States",West,"Shipping on time",O_ID_3000048,"Second Class",2,2,26,160,1,-208.27,2020-09-08,2020-11-08
C_ID_40501,Jacqueline,Preis,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","Office Supplies",Consumer,Westland,Michigan,"United States",Central,"Shipping on time",O_ID_3000049,"Second Class",2,2,2,160,1,45.92,2020-08-17,2020-08-19
C_ID_35241,Mary,Lopez,"Newell 351","Office Supplies",Consumer,Jonesboro,Arkansas,"United States",South,"Shipping on time",O_ID_3000050,"Second Class",2,2,13,240,1,4.54,2020-06-01,2020-06-03
C_ID_38941,Emma,Lopez,"Newell 327","Office Supplies",Consumer,Jonesboro,Arkansas,"United States",South,"Shipping on time",O_ID_3000051,"Second Class",2,2,15,112,1,43.83,2020-07-25,2020-07-27
C_ID_41056,Mary,Preis,"Panasonic KP-4ABK Battery-Operated Pencil Sharpener","Office Supplies",Consumer,Westland,Michigan,"United States",Central,"Shipping on time",O_ID_3000052,"Second Class",2,2,36,200,1,42.62,2020-08-25,2020-08-27
C_ID_37121,Denise,MacIntyre,"GBC DocuBind TL200 Manual Binding Machine","Office Supplies",Corporate,Smyrna,Tennessee,"United States",South,"Shipping on time",O_ID_3000054,"Second Class",2,2,31,240,1,31.31,2020-06-28,2020-06-30
C_ID_38746,Diane,Preis,"Storex Dura Pro Binders","Office Supplies",Consumer,Westland,Michigan,"United States",Central,"Shipping on time",O_ID_3000055,"Second Class",2,2,4,200,1,11.76,2020-07-22,2020-07-24
C_ID_32966,Olivia,Lopez,"Staple envelope","Office Supplies",Consumer,Jonesboro,Arkansas,"United States",South,"Shipping on time",O_ID_3000056,"Second Class",2,2,5,160,1,-113.73,2020-04-29,2020-05-01
C_ID_32781,David,Van,"Wirebound Service Call Books, 5 1/2" x 4"""","Office Supplies",Consumer,"Los Angeles",California,"United States",West,"Shipping on time",O_ID_3000057,"Second Class",2,2,5,120,1,43.2,2020-04-26,2020-04-28
C_ID_37401,Sara,Preis,"Eldon Fold 'N Roll Cart System","Office Supplies",Consumer,Westland,Michigan,"United States",Central,"Shipping on time",O_ID_3000058,"Second Class",2,2,14,200,1,62.84,2020-07-02,2020-01-10
C_ID_32296,Juan,Preis,"Fellowes Bases and Tops For Staxonsteel/High-Stak Systems","Office Supplies",Consumer,Westland,Michigan,"United States",Central,"Shipping on time",O_ID_3000059,"Second Class",2,2,14,200,1,52.08,2020-04-19,2020-04-21
C_ID_43321,Mary,Lopez,"Apple iPhone 5C",Technology,Consumer,Jonesboro,Arkansas,"United States",South,"Shipping on time",O_ID_3000060,"Second Class",2,2,6,60,1,6.1,2020-09-27,2020-09-29
C_ID_36646,Mary,Boeckenhauer,"Ultra Door Pull Handle",Furniture,Consumer,Miami,Florida,"United States",South,"Shipping on time",O_ID_3000061,"Second Class",2,2,30,200,1,53.19,2020-06-21,2020-06-23
C_ID_39736,Margaret,Waco,"Eldon Imàge Series Desk Accessories, Clear",Furniture,Corporate,Lafayette,Indiana,"United States",Central,"Shipping on time",O_ID_3000062,"Second Class",2,2,36,200,1,59.53,2020-05-28,2020-05-30
C_ID_39946,Mary,Waco,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Furniture,Corporate,"Las Vegas",Nevada,"United States",West,"Shipping on time",O_ID_3000063,"Second Class",2,2,32,160,1,44.79,2020-06-26,2020-06-28
C_ID_32796,Kimberly,Waco,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Corporate,"Rapid City","South Dakota","United States",Central,"Shipping on time",O_ID_3000064,"Second Class",2,2,100,120,1,-239.98,2020-10-08,2020-12-08
C_ID_37871,Mary,Waco,"Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright)","Office Supplies",Corporate,Alexandria,Virginia,"United States",South,"Shipping on time",O_ID_3000065,"Second Class",2,2,0,40,1,4.52,2020-06-18,2020-06-20
C_ID_37701,Mary,Waco,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",Technology,Corporate,Alexandria,Virginia,"United States",South,"Shipping on time",O_ID_3000066,"Second Class",2,2,2,200,1,91.08,2020-07-16,2020-07-18
C_ID_34951,Amanda,Goranitis,"Alliance Big Bands Rubber Bands, 12/Pack","Office Supplies",Consumer,"Rapid City","South Dakota","United States",Central,"Shipping on time",O_ID_3000067,"Second Class",2,2,12,120,1,24.44,2020-03-09,2020-05-09
C_ID_36946,Mary,McGrath,"Xerox 195","Office Supplies",Consumer,Alexandria,Virginia,"United States",South,"Shipping on time",O_ID_3000068,"Second Class",2,2,6,160,1,-72.94,2020-06-18,2020-06-20
C_ID_33976,John,Adams,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Corporate,Alexandria,Virginia,"United States",South,"Shipping on time",O_ID_3000069,"Second Class",2,2,18,200,1,-491.2,2020-08-26,2020-08-28
C_ID_36421,Kathleen,Daniels,"Eldon Image Series Black Desk Accessories",Furniture,"Home Office",Alexandria,Virginia,"United States",South,"Shipping on time",O_ID_3000070,"Second Class",2,2,26,200,1,63.14,2020-01-08,2020-03-08
C_ID_38346,Mary,Daniels,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Furniture,"Home Office",Alexandria,Virginia,"United States",South,"Shipping on time",O_ID_3000071,"Second Class",2,2,3,120,1,13.07,2020-05-10,2020-07-10
C_ID_35571,Jacob,Adams,"Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders","Office Supplies",Corporate,Alexandria,Virginia,"United States",South,"Shipping on time",O_ID_3000072,"Second Class",2,2,6,120,1,73.49,2020-04-30,2020-05-02
C_ID_33321,Mary,Daniels,"SAFCO Commercial Wire Shelving, 72h","Office Supplies","Home Office","San Diego",California,"United States",West,"Shipping on time",O_ID_3000075,"Second Class",2,2,65,120,1,208.78,2020-05-10,2020-07-10
C_ID_37806,Mary,Daniels,"Jabra SPEAK 410",Technology,"Home Office","New York City","New York","United States",East,"Shipping on time",O_ID_3000076,"Second Class",2,2,63,250,1,50.63,2020-06-10,2020-08-10
C_ID_33071,Austin,Daniels,"Macally Suction Cup Mount",Technology,"Home Office",Detroit,Michigan,"United States",Central,"Shipping on time",O_ID_3000077,"Second Class",2,2,3,250,1,71.78,2020-08-24,2020-08-26
C_ID_31591,Mary,Jacobs,"Balt Split Level Computer Training Table",Furniture,Consumer,Detroit,Michigan,"United States",Central,"Shipping on time",O_ID_3000078,"Second Class",2,2,2,200,1,-62.75,2020-07-03,2020-02-10
C_ID_37681,Mary,Jacobs,"Dixon Ticonderoga Core-Lock Colored Pencils","Office Supplies",Consumer,"Mission Viejo",California,"United States",West,"Shipping on time",O_ID_3000079,"Second Class",2,2,8,250,1,75.87,2020-02-08,2020-04-08
C_ID_37806,Evelyn,Jacobs,"Recycled Steel Personal File for Hanging File Folders","Office Supplies",Consumer,"Green Bay",Wisconsin,"United States",Central,"Shipping on time",O_ID_3000080,"Second Class",2,2,28,120,1,103.94,2020-06-26,2020-06-28
C_ID_41021,Mary,Vittorini,"Xerox 1972","Office Supplies",Consumer,"San Diego",California,"United States",West,"Shipping on time",O_ID_3000082,"Second Class",2,2,27,120,1,27.3,2020-04-24,2020-04-26
C_ID_37416,Samantha,Vittorini,"Space Solutions HD Industrial Steel Shelving.","Office Supplies",Consumer,"Saint Petersburg",Florida,"United States",South,"Shipping on time",O_ID_3000083,"Second Class",2,2,30,120,1,134.98,2020-06-02,2020-01-09
C_ID_33416,Mary,Carlisle,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Consumer,Seattle,Washington,"United States",West,"Shipping on time",O_ID_3000084,"Second Class",2,2,60,120,1,219.98,2020-08-28,2020-08-30
C_ID_36991,Mary,Drucker,"Enermax Aurora Lite Keyboard",Technology,Consumer,Seattle,Washington,"United States",West,"Shipping on time",O_ID_3000085,"Second Class",2,2,30,250,1,82.47,2020-07-24,2020-07-26
C_ID_41021,Mary,Barreto,"Surelock Post Binders","Office Supplies",Consumer,Escondido,California,"United States",West,"Shipping on time",O_ID_3000086,"Second Class",2,2,40,250,1,104.96,2020-11-20,2020-11-22
C_ID_32646,Angela,Delaney,Staples,"Office Supplies","Home Office","San Diego",California,"United States",West,"Shipping on time",O_ID_3000087,"Same Day",0,0,13,180,1,3.35,2020-06-23,2020-06-23
C_ID_35301,Ann,Barreto,"AT&T 17929 Lendline Telephone",Technology,Consumer,"San Diego",California,"United States",West,"Shipping on time",O_ID_3000088,"Same Day",0,0,6,120,1,37.04,2020-08-23,2020-08-23
C_ID_41241,Aaron,Boeckenhauer,"Avery Durable Poly Binders","Office Supplies",Consumer,Romeoville,Illinois,"United States",Central,"Shipping on time",O_ID_3000089,"Same Day",0,0,4,75,1,24.8,2020-11-07,2020-11-07
C_ID_38906,Aaron,Boeckenhauer,"Ibico Laser Imprintable Binding System Covers","Office Supplies",Consumer,Chesapeake,Virginia,"United States",South,"Shipping on time",O_ID_3000090,"Same Day",0,0,8,120,1,13.95,2020-11-07,2020-11-07
C_ID_47046,David,Haberlin,"GBC Standard Recycled Report Covers, Clear Plastic Sheets","Office Supplies",Corporate,Chesapeake,Virginia,"United States",South,"Shipping on time",O_ID_3000091,"Same Day",0,0,13,150,1,-6.41,2020-07-19,2020-07-19
C_ID_36734,Larry,Brumfield,"GBC Recycled Grain Textured Covers","Office Supplies","Home Office",Chesapeake,Virginia,"United States",South,"Shipping on time",O_ID_3000092,"Same Day",0,0,16,180,1,80.25,2020-07-19,2020-07-19
C_ID_31937,Mary,Latchford,"Avery Flip-Chart Easel Binder, Black","Office Supplies",Consumer,Linden,"New Jersey","United States",East,"Shipping on time",O_ID_3000094,"Same Day",0,0,7,60,1,-40.48,2020-05-16,2020-05-16
C_ID_31937,Mary,Ducich,"Avery 480","Office Supplies",Corporate,"North Las Vegas",Nevada,"United States",West,"Shipping on time",O_ID_3000095,"Same Day",0,0,20,150,1,27.8,2020-04-09,2020-04-09
C_ID_38519,Mary,Ducich,"AT&T CL82213",Technology,Corporate,Columbia,Missouri,"United States",Central,"Shipping on time",O_ID_3000096,"Same Day",0,0,23,150,1,14.41,2020-11-11,2020-11-11
C_ID_38516,Joseph,Ducich,"Aastra 57i VoIP phone",Technology,Corporate,Columbia,Missouri,"United States",Central,"Shipping on time",O_ID_3000097,"Same Day",0,0,31,180,1,52.28,2020-08-20,2020-08-20
C_ID_38518,Roy,Selesnick,"Acco Perma 4000 Stacking Storage Drawers","Office Supplies",Corporate,Chesapeake,Virginia,"United States",South,"Shipping on time",O_ID_3000098,"Same Day",0,0,54,120,1,-41.08,2020-04-23,2020-04-23
C_ID_34148,Ashley,Kinney,"Maxell DVD-RAM Discs",Technology,Corporate,Chesapeake,Virginia,"United States",South,"Shipping on time",O_ID_3000099,"Same Day",0,0,22,120,1,24.59,2020-08-07,2020-08-07
C_ID_35633,Mary,Mautz,"Master Caster Door Stop, Large Brown",Furniture,"Home Office",Columbia,Missouri,"United States",Central,"Shipping on time",O_ID_3000100,"Same Day",0,0,20,120,1,46.8,2020-10-08,2020-10-08
C_ID_40306,Sara,Armstrong,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Consumer,Columbia,Missouri,"United States",Central,"Shipping on time",O_ID_3000101,"Same Day",0,0,3,45,1,20.49,2020-04-07,2020-04-07
C_ID_32551,Mary,Fritzler,"Hon 2111 Invitation Series Corner Table",Furniture,Consumer,Columbia,Missouri,"United States",Central,"Shipping on time",O_ID_3000103,"Same Day",0,0,36,180,1,31.96,2020-08-23,2020-08-23
C_ID_31739,Christine,Fritzler,"Wilson Jones Leather-Like Binders with DublLock Round Rings","Office Supplies",Consumer,Chesapeake,Virginia,"United States",South,"Shipping on time",O_ID_3000104,"Same Day",0,0,37,150,1,49.48,2020-07-30,2020-07-30
C_ID_33923,Doris,Armstrong,"VariCap6 Expandable Binder","Office Supplies",Consumer,Concord,California,"United States",West,"Shipping on time",O_ID_3000105,"Same Day",0,0,4,180,1,61.73,2020-07-26,2020-07-26
C_ID_31471,Larry,Armstrong,"Wilson Jones Turn Tabs Binder Tool for Ring Binders","Office Supplies",Consumer,Seattle,Washington,"United States",West,"Shipping on time",O_ID_3000106,"Same Day",0,0,11,195,1,46.07,2020-06-19,2020-06-19
C_ID_32018,Mary,Armstrong,"Avery 483","Office Supplies",Consumer,Houston,Texas,"United States",Central,"Shipping on time",O_ID_3000107,"Same Day",0,0,18,150,1,-109.91,2020-10-02,2020-10-02
C_ID_40898,Mary,Armstrong,"Fellowes Neat Ideas Storage Cubes","Office Supplies",Consumer,Seattle,Washington,"United States",West,"Shipping on time",O_ID_3000108,"Same Day",0,0,27,150,1,23.36,2020-08-17,2020-08-17
C_ID_39287,Judy,Fritzler,"Enermax Aurora Lite Keyboard",Technology,Consumer,Seattle,Washington,"United States",West,"Shipping on time",O_ID_3000109,"Same Day",0,0,32,180,1,45.75,2020-04-21,2020-04-21
C_ID_39001,Angela,Chand,"Global Geo Office Task Chair, Gray",Furniture,Consumer,Seattle,Washington,"United States",West,"Shipping on time",O_ID_3000110,"Same Day",0,0,10,240,1,76.02,2020-06-23,2020-06-23
C_ID_36479,Juan,Lichtenstein,"Belkin 8 Outlet Surge Protector","Office Supplies",Corporate,Dallas,Texas,"United States",Central,"Shipping on time",O_ID_3000111,"Same Day",0,0,52,120,1,39.32,2020-05-07,2020-05-07
C_ID_43666,Janice,Tom,"Memo Book, 100 Message Capacity, 5 3/8” x 11”","Office Supplies",Consumer,Dallas,Texas,"United States",Central,"Shipping on time",O_ID_3000112,"Same Day",0,0,25,100,1,19.49,2020-08-25,2020-08-25
C_ID_40499,David,Lichtenstein,"Compact Automatic Electric Letter Opener","Office Supplies",Corporate,Chicago,Illinois,"United States",Central,"Shipping on time",O_ID_3000113,"Same Day",0,0,5,240,1,-50.09,2020-07-19,2020-07-19
C_ID_32415,Barbara,Lichtenstein,"Logitech G600 MMO Gaming Mouse",Technology,Corporate,Lubbock,Texas,"United States",Central,"Shipping on time",O_ID_3000114,"Same Day",0,0,7,240,1,29.1,2020-07-19,2020-07-19
C_ID_36734,Kathy,Französisch,"Pressboard Data Binders by Wilson Jones","Office Supplies",Corporate,Arlington,Texas,"United States",Central,"Shipping on time",O_ID_3000115,"Same Day",0,0,8,120,1,52.45,2020-06-30,2020-06-30
C_ID_31534,Mary,Nguyen,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter","Office Supplies",Consumer,Richmond,Indiana,"United States",Central,"Shipping on time",O_ID_3000116,"Same Day",0,0,18,200,1,47.32,2020-11-11,2020-11-11
C_ID_41066,Aaron,Nguyen,"Wilson Jones Easy Flow II Sheet Lifters","Office Supplies",Consumer,"Los Angeles",California,"United States",West,"Shipping on time",O_ID_3000117,"Same Day",0,0,9,100,1,23.93,2020-11-07,2020-11-07
C_ID_38519,Emma,Latchford,"Staples in misc. colors","Office Supplies",Consumer,Richmond,Indiana,"United States",Central,"Shipping on time",O_ID_3000118,"Same Day",0,0,20,200,1,46.8,2020-07-09,2020-07-09
C_ID_38507,Mary,Blackwell,"DAX Copper Panel Document Frame, 5 x 7 Size",Furniture,Consumer,Woodstock,Illinois,"United States",Central,"Shipping on time",O_ID_3000119,"Same Day",0,0,26,200,1,58.79,2020-07-19,2020-07-19
C_ID_37230,Mary,Bergman,"Akro Stacking Bins","Office Supplies",Consumer,"Moreno Valley",California,"United States",West,"Shipping on time",O_ID_3000120,"Same Day",0,0,27,160,1,-33.19,2020-11-11,2020-11-11
C_ID_40306,Ashley,Cazamias,"Master Caster Door Stop, Brown",Furniture,Corporate,"El Paso",Texas,"United States",Central,"Shipping on time",O_ID_3000121,"Same Day",0,0,34,200,1,53.93,2020-08-07,2020-08-07
C_ID_31937,Jason,Roelle,"Xerox 204","Office Supplies","Home Office","El Paso",Texas,"United States",Central,"Shipping on time",O_ID_3000122,"Same Day",0,0,50,200,1,41.98,2020-05-08,2020-05-08
